,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Layanan,0.8088,0.8151,0.8088,0.8109,0.1913,0.4368,-0.0472
Fitur,0.7600,0.7693,0.7600,0.7632,0.2400,0.4891,-0.1492
Kebermanfaatan,0.8979,0.9005,0.8979,0.8985,0.1021,0.3172,0.3555
Bisnis,0.7717,0.7738,0.7717,0.7720,0.2283,0.4773,-0.0124
Non Aspek,0.6992,0.7132,0.6992,0.7045,0.3008,0.5482,-0.4858
