,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Layanan,0.6866666666666666,0.7853787612583607,0.6866666666666666,0.7113169716662682,0.3283333333333333,0.5982070931293297,-0.5135709281752014
Fitur,0.6287499999999999,0.7236618898278687,0.6287499999999999,0.650933413636367,0.40375000000000005,0.6840088838720111,-0.5962896294437623
Kebermanfaatan,0.835,0.8932425557360869,0.835,0.8596041190558174,0.16666666666666666,0.4106966251605761,-0.025963312043552244
Bisnis,0.7016666666666665,0.7543577179709438,0.7016666666666665,0.7141896180622156,0.32666666666666666,0.6186413933399627,-0.11674562571719242
Non Aspek,0.4995833333333334,0.7009932912946727,0.4995833333333334,0.5281213892318284,0.54375,0.7931980647125924,-1.2438476222117854
